"t","c"
"2009-11-21 00:00:00","1076732"
"2009-11-22 00:00:00","903022"
"2009-11-23 00:00:00","890150"
"2009-11-24 00:00:00","949938"
"2009-11-25 00:00:00","941074"
"2009-11-26 00:00:00","619502"
"2009-11-27 00:00:00","709890"
"2009-11-28 00:00:00","846570"
"2009-11-29 00:00:00","784292"
"2009-11-30 00:00:00","901078"
"2009-12-01 00:00:00","973748"
"2009-12-02 00:00:00","1008200"
"2009-12-03 00:00:00","1066432"
"2009-12-04 00:00:00","1122590"
"2009-12-05 00:00:00","1153542"
"2009-12-06 00:00:00","908424"
"2009-12-07 00:00:00","936026"
"2009-12-08 00:00:00","1009770"
"2009-12-09 00:00:00","1037366"
"2009-12-10 00:00:00","1114888"
"2009-12-11 00:00:00","1193764"
"2009-12-12 00:00:00","1127414"
"2009-12-13 00:00:00","970894"
"2009-12-14 00:00:00","935840"
"2009-12-15 00:00:00","1016802"
"2009-12-16 00:00:00","1093420"
"2009-12-17 00:00:00","1133060"
"2009-12-18 00:00:00","1163846"
"2009-12-19 00:00:00","977622"
"2009-12-20 00:00:00","624460"
"2009-12-21 00:00:00","850880"
"2009-12-22 00:00:00","910180"
"2009-12-23 00:00:00","912188"
"2009-12-24 00:00:00","765270"
"2009-12-25 00:00:00","466442"
"2009-12-26 00:00:00","641232"
"2009-12-27 00:00:00","625894"
"2009-12-28 00:00:00","750910"
"2009-12-29 00:00:00","894032"
"2009-12-30 00:00:00","859270"
"2009-12-31 00:00:00","922402"
"2010-01-01 00:00:00","803712"
"2010-01-02 00:00:00","821244"
"2010-01-03 00:00:00","779138"
"2010-01-04 00:00:00","798642"
"2010-01-05 00:00:00","890528"
"2010-01-06 00:00:00","938062"
"2010-01-07 00:00:00","985424"
"2010-01-08 00:00:00","1063028"
"2010-01-09 00:00:00","1063262"
"2010-01-10 00:00:00","891266"
"2010-01-11 00:00:00","896016"
"2010-01-12 00:00:00","987306"
"2010-01-13 00:00:00","1005014"
"2010-01-14 00:00:00","1015906"
"2010-01-15 00:00:00","1047126"
"2010-01-16 00:00:00","983210"
"2010-01-17 00:00:00","952448"
"2010-01-18 00:00:00","723118"
"2010-01-19 00:00:00","896538"
"2010-01-20 00:00:00","973170"
"2010-01-21 00:00:00","1026558"
"2010-01-22 00:00:00","1093222"
"2010-01-23 00:00:00","1085642"
"2010-01-24 00:00:00","897802"
"2010-01-25 00:00:00","849192"
"2010-01-26 00:00:00","938632"
"2010-01-27 00:00:00","991152"
"2010-01-28 00:00:00","1060228"
"2010-01-29 00:00:00","1175204"
"2010-01-30 00:00:00","1157350"
"2010-01-31 00:00:00","938416"
"2010-02-01 00:00:00","403806"
"2010-02-02 00:00:00","439990"
"2010-02-03 00:00:00","449020"
"2010-02-04 00:00:00","471390"
"2010-02-05 00:00:00","486682"
"2010-02-06 00:00:00","468860"
"2010-02-07 00:00:00","420282"
"2010-02-08 00:00:00","839790"
"2010-02-09 00:00:00","907158"
"2010-02-10 00:00:00","517206"
"2010-02-11 00:00:00","911402"
"2010-02-12 00:00:00","1025500"
"2010-02-13 00:00:00","1070422"
"2010-02-14 00:00:00","977376"
"2010-02-15 00:00:00","822686"
"2010-02-16 00:00:00","910820"
"2010-02-17 00:00:00","969068"
"2010-02-18 00:00:00","1001312"
"2010-02-19 00:00:00","1050996"
"2010-02-20 00:00:00","1021664"
"2010-02-21 00:00:00","871504"
"2010-02-22 00:00:00","852918"
"2010-02-23 00:00:00","994392"
"2010-02-24 00:00:00","964424"
"2010-02-25 00:00:00","912310"
"2010-02-26 00:00:00","690818"
"2010-02-27 00:00:00","970496"
"2010-02-28 00:00:00","866274"
"2010-03-01 00:00:00","395724"
"2010-03-02 00:00:00","430130"
"2010-03-03 00:00:00","464506"
"2010-03-04 00:00:00","471538"
"2010-03-05 00:00:00","499908"
"2010-03-06 00:00:00","487314"
"2010-03-07 00:00:00","416680"
"2010-03-08 00:00:00","849402"
"2010-03-09 00:00:00","905426"
"2010-03-10 00:00:00","950410"
"2010-03-11 00:00:00","1016462"
"2010-03-12 00:00:00","1068438"
"2010-03-13 00:00:00","1118968"
"2010-03-14 00:00:00","812810"
"2010-03-15 00:00:00","869920"
"2010-03-16 00:00:00","912520"
"2010-03-17 00:00:00","944378"
"2010-03-18 00:00:00","1028422"
"2010-03-19 00:00:00","1024424"
"2010-03-20 00:00:00","1016474"
"2010-03-21 00:00:00","875454"
"2010-03-22 00:00:00","857648"
"2010-03-23 00:00:00","886848"
"2010-03-24 00:00:00","908330"
"2010-03-25 00:00:00","962866"
"2010-03-26 00:00:00","1052272"
"2010-03-27 00:00:00","1021240"
"2010-03-28 00:00:00","875566"
"2010-03-29 00:00:00","816134"
"2010-03-30 00:00:00","914424"
"2010-03-31 00:00:00","902722"
"2010-04-01 00:00:00","1021318"
"2010-04-02 00:00:00","1030720"
"2010-04-03 00:00:00","991516"
"2010-04-04 00:00:00","808484"
"2010-04-05 00:00:00","841644"
"2010-04-06 00:00:00","946908"
"2010-04-07 00:00:00","1018142"
"2010-04-08 00:00:00","1063462"
"2010-04-09 00:00:00","1135634"
"2010-04-10 00:00:00","1084220"
"2010-04-11 00:00:00","899140"
"2010-04-12 00:00:00","882270"
"2010-04-13 00:00:00","984620"
"2010-04-14 00:00:00","1007872"
"2010-04-15 00:00:00","1075250"
"2010-04-16 00:00:00","1153328"
"2010-04-17 00:00:00","1078468"
"2010-04-18 00:00:00","922170"
"2010-04-19 00:00:00","903260"
"2010-04-20 00:00:00","991348"
"2010-04-21 00:00:00","1037242"
"2010-04-22 00:00:00","1058894"
"2010-04-23 00:00:00","1103576"
"2010-04-24 00:00:00","1067156"
"2010-04-25 00:00:00","968004"
"2010-04-26 00:00:00","975694"
"2010-04-27 00:00:00","1015706"
"2010-04-28 00:00:00","1052162"
"2010-04-29 00:00:00","1066262"
"2010-04-30 00:00:00","1105510"
"2010-05-01 00:00:00","1088844"
"2010-05-02 00:00:00","923322"
"2010-05-03 00:00:00","937414"
"2010-05-04 00:00:00","993542"
"2010-05-05 00:00:00","1056164"
"2010-05-06 00:00:00","1104740"
"2010-05-07 00:00:00","1091382"
"2010-05-08 00:00:00","1086614"
"2010-05-09 00:00:00","936162"
"2010-05-10 00:00:00","948512"
"2010-05-11 00:00:00","1024466"
"2010-05-12 00:00:00","1082754"
"2010-05-13 00:00:00","1072412"
"2010-05-14 00:00:00","1141246"
"2010-05-15 00:00:00","1100322"
"2010-05-16 00:00:00","946590"
"2010-05-17 00:00:00","964458"
"2010-05-18 00:00:00","1052206"
"2010-05-19 00:00:00","1046922"
"2010-05-20 00:00:00","1078078"
"2010-05-21 00:00:00","1122308"
"2010-05-22 00:00:00","1065844"
"2010-05-23 00:00:00","890608"
"2010-05-24 00:00:00","935302"
"2010-05-25 00:00:00","1007894"
"2010-05-26 00:00:00","1050732"
"2010-05-27 00:00:00","1063634"
"2010-05-28 00:00:00","998918"
"2010-05-29 00:00:00","819422"
"2010-05-30 00:00:00","711432"
"2010-05-31 00:00:00","620458"
